     1 Ceres             ---        G  0 4.762E-10 0 1.50E-12 0 9.47E+20 1 2.98E+18 2.98E+18 -99.99 -9.99 2.12 0.04 0.04   1
     1 Ceres             ---        G  2 -.999E+99 2 -.99E+99 2 -.99E+99 2 -.99E+99 -.99E+99 948.80 11.12 -.99 -.99 -.99   2
     1 Ceres             ---        G  0 4.700E-10 0 4.00E-12 0 9.35E+20 1 7.96E+18 7.96E+18 -99.99 -9.99 -.99 -.99 -.99   3
     1 Ceres             ---        G  0 4.390E-10 0 4.00E-12 0 8.73E+20 1 7.96E+18 7.96E+18 -99.99 -9.99 -.99 -.99 -.99   4
     1 Ceres             ---        G  0 4.700E-10 2 -.99E+99 0 9.35E+20 2 -.99E+99 -.99E+99 -99.99 -9.99 -.99 -.99 -.99   5
     1 Ceres             ---        G  0 4.759E-10 0 2.30E-12 0 9.47E+20 1 4.57E+18 4.57E+18 -99.99 -9.99 -.99 -.99 -.99   6
     1 Ceres             ---        G  0 5.000E-10 0 2.00E-11 0 9.90E+20 1 3.98E+19 3.98E+19 -99.99 -9.99 -.99 -.99 -.99   7
     1 Ceres             ---        G  1 5.178E-10 2 -.99E+99 0 1.03E+21 2 -.99E+99 -.99E+99 -99.99 -9.99 -.99 -.99 -.99   8
     1 Ceres             ---        G  0 4.740E-10 0 3.00E-11 0 9.40E+20 1 5.97E+19 5.97E+19 -99.99 -9.99 -.99 -.99 -.99  20
     1 Ceres             ---        G  0 5.000E-10 0 2.00E-11 0 9.90E+20 1 3.98E+19 3.98E+19 -99.99 -9.99 -.99 -.99 -.99  10
     1 Ceres             ---        G  0 5.210E-10 0 3.00E-11 0 1.03E+21 1 5.97E+19 5.97E+19 -99.99 -9.99 -.99 -.99 -.99  11
     1 Ceres             ---        G  0 5.900E-10 0 3.00E-11 0 1.17E+21 1 5.97E+19 5.97E+19 -99.99 -9.99 -.99 -.99 -.99  12
     1 Ceres             ---        G  2 -.999E+99 2 -.99E+99 2 -.99E+99 2 -.99E+99 -.99E+99 848.40 19.70 -.99 -.99 -.99  13
     1 Ceres             ---        G  2 -.999E+99 2 -.99E+99 2 -.99E+99 2 -.99E+99 -.99E+99 941.40 34.00 -.99 -.99 -.99  14
     2 Pallas            ---        B  0 1.078E-10 0 3.80E-12 0 2.14E+20 1 7.56E+18 7.56E+18 -99.99 -9.99 2.71 0.11 0.11   1
     2 Pallas            ---        B  2 -.999E+99 2 -.99E+99 2 -.99E+99 2 -.99E+99 -.99E+99 532.60  6.00 -.99 -.99 -.99  15
     2 Pallas            ---        B  0 1.170E-10 0 3.00E-12 0 2.33E+20 1 5.97E+18 5.97E+18 -99.99 -9.99 -.99 -.99 -.99   9
     2 Pallas            ---        B  0 1.210E-10 0 2.60E-11 0 2.41E+20 1 5.17E+19 5.17E+19 -99.99 -9.99 -.99 -.99 -.99   3
     2 Pallas            ---        B  0 1.590E-10 0 5.00E-12 0 3.16E+20 1 9.95E+18 9.95E+18 -99.99 -9.99 -.99 -.99 -.99   4
